Species,Climate,Plot_ID,Individual_ID,Season,Drought_treatment,Table,Rack,Position_within_Rack,Seed1(g),Seed2(g),Seed3(g),Seed4(g),Seed5(g),#exp Seed,Date exp seed,weight exp seed,cotyl 1 length exp,cotyl 1 width exp,cotyl 2 length exp,cotyl 2 width exp,exp_cotyl_length_aver,exp_cotyl_width_aver,#rgr seed,date rgr seed,weight rgr seed,rgr biomass,cotyl 1 length rgr,cotyl 1 width rgr,cotyl 2 length rgr,cotyl 2 width rgr,rgr_cotyl_length_aver,rgr_cotyl_width_aver,date harvesting,height (mm),rosette diameter (mm),abgr_biomass,undergr_biomass
Dia_car,ambient,3_4,3_4_C1,summer,drought,1,1,1,0.00154,0.00284,0.0019,0.00182,0.00273,4,12/14/2020,0.00182,4.54,2.93,4.14,3.1,4.34,3.015,,,,,,,,,,,1/25/2021,,,,
Dia_car,future,9_1,9_1_C2,summer,control,1,1,2,0.00064,0.00041,0.00076,0.00065,0.00051,1,12/18/2020,0.00064,5.27,2.95,4.38,2.42,4.825,2.685,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,2_5,2_5_C2,fall,control,1,1,4,0.0007,0.00127,0.00067,0.00099,0.00131,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C4,fall,control,1,1,5,0.00064,0.00069,0.00092,0.00062,0.00065,4,12/28/2020,0.00062,6.3,4.15,6.45,3.6,6.375,3.875,,,,,,,,,,,2/8/2021,,,,
Dia_car,future,9_1,9_1_C2,fall,control,1,1,6,0.00059,0.00052,0.00065,0.00059,0.00035,3,12/11/2020,0.00065,4.98,3.1,4.53,2.93,4.755,3.015,4,12/16/2020,0.00059,0.00073,5.48,3.13,4.88,2.98,,,1/22/2021,,,,
Sca_och,ambient,5_5,5_5_C3,fall,drought,1,1,8,0.00082,0.00089,0.00083,0.00086,0.00085,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,2_5,2_5_C2,summer,control,1,1,10,0.00076,0.0005,0.00069,0.00056,0.0007,3,11/30/2020,0.00069,6.2,5.19,5.96,4.6,6.08,4.895,1,11/30/2020,0.00076,0.00148,6.09,3.23,5.44,3.7,,,1/11/2021,100,185,1.11635,0.33658
Dia_car,future,2_5,2_5_C1,fall,control,1,1,11,0.00106,0.0005,0.0004,0.00057,0.00055,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,future,4_4,4_4_C1,fall,drought,1,1,12,0.00163,0.00153,0.00069,0.00104,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C3,fall,drought,1,1,15,0.00087,0.00064,0.00062,0.00061,0.00058,1,11/30/2020,0.00087,6.59,4.61,6.19,4.36,6.39,4.485,4,12/2/2020,0.00061,0.00156,3.3,2.37,3.35,2.68,3.325,2.525,1/11/2021,43,80,0.26956,0.12881
Sca_och,future,6_3,6_3_C3,summer,drought,1,1,18,0.00049,0.00101,0.00096,0.00108,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,future,9_1,9_1_C2,fall,control,1,1,20,0.00098,0.00113,0.00096,0.00069,0.00097,5,12/11/2020,0.00097,3.95,2.51,4.05,2.6,4,2.555,3,12/14/2020,0.00096,0.00129,4.68,3.09,4.56,3.04,,,1/22/2021,,,,
Dia_car,ambient,1_1,1_1_C4,fall,control,1,1,22,0.0006,0.0005,0.00047,0.00049,0.00055,3,12/18/2020,0.00047,4.63,3.5,4.69,3.35,4.66,3.425,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,4_4,4_4_C1,summer,control,1,1,23,0.00043,0.00053,0.00085,0.00121,0.00112,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,3_4,3_4_C2,summer,drought,1,1,24,0.00053,0.00068,0.00054,0.00051,0.00047,1,11/27/2020,0.00053,5.77,3.86,5.03,4.24,5.4,4.05,,,,,,,,,,,1/8/2021,37,60,0.12778,0.10564
Dia_car,ambient,5_5,5_5_C1,summer,drought,1,1,26,0.00042,0.00045,0.00035,0.00044,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,5_5,5_5_C4,fall,drought,1,1,27,0.00061,0.00103,0.00061,0.00061,0.00064,1,11/30/2020,0.00061,5.89,4.24,6.97,4.28,6.43,4.26,5,11/30/2020,0.00064,0.0016,4.61,3.57,4.37,3.5,4.49,3.535,1/11/2021,70,92,0.21982,0.15417
Dia_car,ambient,10_2,10_2_C2,summer,control,1,1,28,0.00047,0.00056,0.0005,0.00054,0.00043,1,12/18/2020,0.00047,4.69,3.1,4.37,2.96,4.53,3.03,,,,,,,,,,,1/29/2021,,,,
Sca_och,future,7_2,7_2_C2,fall,drought,1,1,29,0.00126,0.00162,0.00156,0.00192,0.00108,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C3,fall,control,1,1,31,0.00138,0.00118,0.00091,0.00065,0.00096,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C3,summer,drought,1,1,36,0.00028,0.00048,0.00034,0.00033,0.00031,3,12/2/2020,0.00034,4.69,3.26,4.3,3.25,4.495,3.255,1,12/2/2020,0.00028,0.00108,4.67,3.53,4.64,3.24,4.655,3.385,1/13/2021,41,89,,
Dia_car,future,6_3,6_3_C4,fall,drought,1,1,39,0.00075,0.00074,0.00066,0.00032,0.00022,3,12/7/2020,0.00066,5.33,4.08,5.06,4.03,5.195,4.055,,,,,,,,,,,1/18/2021,43,67,,
Dia_car,ambient,3_4,3_4_C2,summer,control,1,1,40,0.00023,0.00045,0.00052,0.00047,0.0007,2,12/16/2020,0.00045,5.08,3.22,4.85,3.1,4.965,3.16,,,,,,,,,,,1/27/2021,,,,
Dia_car,future,4_4,4_4_C4,summer,drought,1,1,41,0.00082,0.00071,0.00106,0.00084,0.00084,4,11/30/2020,0.00084,7.67,3.42,6.8,3.87,7.235,3.645,1,11/30/2020,0.00082,0.00087,5.6,3.12,4.96,2.57,5.28,2.845,1/11/2021,42,67,0.15903,0.07724
Dia_car,ambient,10_2,10_2_C3,fall,control,1,1,43,0.00063,0.00053,0.00042,NA,NA,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C1,summer,control,1,1,45,0.00073,0.00047,0.00044,0.00041,0.00056,3,11/30/2020,0.00044,6.54,3.72,6.08,3.98,6.31,3.85,2,11/30/2020,0.00047,0.00163,5.93,4.44,6.04,4.49,,,1/11/2021,73,82,0.54914,0.1839
Sca_och,future,2_5,2_5_C1,summer,control,1,1,46,0.00113,0.00149,0.00095,0.00164,0.00154,5,12/14/2020,0.00154,5.8,3.96,6.1,3.75,5.95,3.855,,,,,,,,,,,1/25/2021,,,,
Sca_och,ambient,8_3,8_3_C3,summer,control,1,1,49,0.00052,0.00055,0.00047,0.00055,0.0005,,,,,,,,0,0,,,,,,,,,,,,,,,
Sca_och,ambient,1_1,1_1_C3,fall,drought,1,1,50,0.00091,0.00105,0.00128,0.00097,0.00089,,,,,,,,,,,,,,,,,,,,,,,,
